,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
66,"Photography,Fashion,Business",50.87381,4.263758,be,https://www.meetup.com/Art-Portrait-Photography-with-Flash/events/259064240/,Spring Photo Walk: Floralia Brussels,64.22314436590365,7.0,259064240,Sun Apr 14 11:00:00 2019,Groot-Bijgaarden Castle,15
67,"Tech,Business",50.815594,4.38328,be,https://www.meetup.com/Data-Science-Community-Meetup/events/259091175/,diSummit2019 - being human in the age of #AI,26.590550032997122,7.0,259091175,Wed Jun 26 08:00:00 2019,ULB Solbosch,9
68,Tech,51.037544,3.70685,be,https://www.meetup.com/TensorFlow-Belgium/events/259162619/,TF meetup:  Quantum ML - TensorFlow 2.0 - Transformers,49.30179212808986,23.80534601107519,259162619,Tue May  7 19:00:00 2019,ML6 Ghent,13
69,"Tech,Business,Languages",50.872902,4.4158040000000005,be,https://www.meetup.com/lance-ton-business-online/events/259299866/,FORMATION - Lance ton business en ligne,7.0,7.0,259299866,Sat Apr 27 09:00:00 2019,transforma bxl - Evere,3
70,"Business,Community",50.872902,4.4158040000000005,be,https://www.meetup.com/digital-entrepreneurship/events/259303038/,FORMATION - Lance ton business en ligne,7.0,7.0,259303038,Sat Apr 27 09:00:00 2019,transforma bxl - Evere,2
71,Games,50.84864,4.365189,be,https://www.meetup.com/BoardgameMonkeys/events/259440194/,No Work ! All Play !,7.0,7.0,259440194,Wed Apr 17 19:30:00 2019,Outpost Game Center,16
72,Languages,50.83904,4.376306,be,https://www.meetup.com/TalkingEurope/events/259442766/,European Institutions Open Day,7.0,7.0,259442766,Sat May  4 15:00:00 2019,European Parliament - Hemicycle,4
73,Tech,50.849594,4.364084,be,https://www.meetup.com/BruJUG/events/259479863/,Fantastic Frameworks and How to Avoid Them,26.590550032997122,7.0,259479863,Tue Jun  4 19:00:00 2019,ESI,5
74,"Social,Singles,Outdoors,Languages,Food&Drink",50.849922,4.366694,be,https://www.meetup.com/terpBR/events/259540726/,French Language Meetup @ Caberdouche Caf\u00e9 - Brussels,7.0,7.0,259540726,Wed Apr  3 19:30:00 2019,Caf\u00e9 Caberdouche,7
75,"Dancing,Food&Drink,Social,Music,Languages,BookClubs",50.85296,4.346872,be,https://www.meetup.com/Kultura/events/259542083/,Kultura#1#lets start with hello ,7.0,7.0,259542083,Fri Apr  5 19:00:00 2019,ViaVia Brussels,30
76,"Tech,Business",50.406376,4.437429,be,https://www.meetup.com/UX-FLUPA-Bruxelles/events/259563570/,Guerilla UX: des m\u00e9thodes pour tous budgets et tous plannings!,7.0,7.0,259563570,Tue Apr 23 18:00:00 2019,Co.Station Charleroi,25
77,"Tech,Business",50.85735,4.350038,be,https://www.meetup.com/effective-facilitation/events/259572215/,Agile Leadership - Empowering Alignment in New Ways of Working,7.0,7.0,259572215,Thu Apr 11 19:00:00 2019,DigitYser,8
78,"Tech,Business",50.85735,4.350038,be,https://www.meetup.com/effective-facilitation/events/259573669/,practicing visibility - agile coaching in a non agile organisation/culture,1564.7225302259772,7.0,259573669,Tue May 21 19:00:00 2019,DigitYser,4
79,,45.521484,9.164083,ch,https://www.meetup.com/Facilitation-Change-Meetup-Gruppe-Schweiz/events/255206041/,EME Konferenz IAF 2019,162.0533820078358,110.3689213385572,255206041,Thu May  2 08:00:00 2019,"Via Ippocrate, 45",2
80,Tech,46.94806,7.436911999999999,ch,https://www.meetup.com/MicrosoftITProSchweiz/events/257268342/,Experts Live Caf\u00e9 2/2019: 10 ways to hack Windows 10,7.0,7.0,257268342,Tue Apr  2 17:30:00 2019,Welle7,5
81,Tech,46.95095,7.440641,ch,https://www.meetup.com/Software-Testing-Meetup-Bern/events/257970496/,Testing *with* AI @ SBB,20.577977210855288,16.05198480723686,257970496,Thu Apr  4 17:30:00 2019,Bollwerk,2
82,"Tech,Business",46.948257,7.442258,ch,https://www.meetup.com/Lean-Startup-Bern/events/257985326/,Lean Lab: Lean CANVAS Workshop,7.0,7.0,257985326,Thu Apr 18 18:00:00 2019,Impact Hub Bern,14
83,Tech,46.948105,7.438067999999999,ch,https://www.meetup.com/Machine-Learning-Artificial-Intelligence-Meetup-Bern/events/258289321/,Machine-Learning-Artificial-Intelligence Meetup Bern April 2019,7.0,7.0,258289321,Mon Apr 29 18:00:00 2019,Z\u00fchlke Bern,6
84,"Tech,Business",46.927868,7.445703,ch,https://www.meetup.com/AI-for-Marketing-Use-cases-and-Networking-BERN/events/258524158/,3. AI in Marketing Meet-Up Bern,5000.0,2686.231851419899,258524158,Thu Jun  6 18:00:00 2019,INNOSpace,4
